code,libelle,niveau,source
511,Édition (sauf par Internet),1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
512,Industries du film et de l'enregistrement sonore,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
515,Radiotélévision (sauf par Internet),1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
517,Télécommunications,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
518,"Traitement de données, hébergement de données et services connexes",1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
519,Autres services d'information,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
521,Autorités monétaires – banque centrale,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
522,Intermédiation financière et activités connexes,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
523,"Valeurs mobilières, contrats de marchandises et autres activités d'investissement financier connexes",1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
524,Sociétés d'assurance et activités connexes,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
526,Fonds et autres instruments financiers,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
531,Services immobiliers,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
532,Services de location et de location à bail,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
533,Bailleurs de biens incorporels non financiers (sauf les œuvres protégées par le droit d'auteur),2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
541,"Services professionnels, scientifiques et techniques",1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
551,Gestion de sociétés et d'entreprises,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
561,Services administratifs et services de soutien,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
562,Services de gestion des déchets et d'assainissement,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
611,Services d'enseignement,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
621,Services de soins de santé ambulatoires,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
622,Hôpitaux,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
623,Établissements de soins infirmiers et de soins pour bénéficiaires internes,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
624,Assistance sociale,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
711,"Arts d'interprétation, sports-spectacles et activités connexes",1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
712,Établissements du patrimoine,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
713,"Divertissement, loisirs, jeux de hasard et loteries",1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
721,Services d'hébergement,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
722,Services de restauration et débits de boissons,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
811,Réparation et entretien,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
812,Services personnels et services de blanchissage,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
813,"Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires",2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
814,Ménages privés,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
911,Administration publique fédérale,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
912,Administrations publiques provinciales et territoriales,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
913,"Administrations publiques locales, municipales et régionales",3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
914,Administrations publiques autochtones,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
919,Organismes publics internationaux et autres organismes publics extraterritoriaux,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
